,q1(theta)
0,0.0
1,2.6180339603380443
2,2.6180339603380443
3,2.6180339603380443
4,2.6180339603380443
5,2.6180339603380443
6,2.6180339603380443
7,2.6180339603380443
8,2.6180339603380443
9,2.6180339603380443
10,2.6180339603380443
11,2.6180339603380443
12,2.6180339603380443
13,2.6180339603380443
14,2.6180339603380443
15,2.6180339603380443
16,2.6180339603380443
17,2.6180339603380443
18,2.6180339603380443
19,2.6180339603380443
20,2.6180339603380443
21,2.6180339603380443
22,2.6180339603380443
23,2.6180339603380443
24,2.6180339603380443
25,2.6180339603380443
26,2.6180339603380443
27,2.6180339603380443
28,2.6180339603380443
29,2.6180339603380443
30,2.6180339603380443
31,2.6180339603380443
32,2.6180339603380443
33,2.6180339603380443
34,2.6180339603380443
35,2.6180339603380443
36,2.6180339603380443
37,2.6180339603380443
38,2.6180339603380443
39,2.6180339603380443
40,2.6180339603380443
41,2.6180339603380443
42,2.6180339603380443
43,2.6180339603380443
44,2.6180339603380443
45,2.6180339603380443
46,2.6180339603380443
47,2.6180339603380443
48,2.6180339603380443
49,2.6180339603380443
50,2.6180339603380443
51,2.6180339603380443
52,2.6180339603380443
53,2.6180339603380443
54,2.6180339603380443
55,2.6180339603380443
56,2.6180339603380443
57,2.6180339603380443
58,2.6180339603380443
59,2.6180339603380443
60,2.6180339603380443
61,2.6180339603380443
62,2.6180339603380443
63,2.6180339603380443
64,2.6180339603380443
65,2.6180339603380443
66,2.6180339603380443
67,2.6180339603380443
68,2.6180339603380443
69,2.6180339603380443
70,2.6180339603380443
71,2.6180339603380443
72,2.6180339603380443
73,2.6180339603380443
74,2.6180339603380443
75,2.6180339603380443
76,2.6180339603380443
77,2.6180339603380443
78,2.6180339603380443
79,2.6180339603380443
80,2.6180339603380443
81,2.6180339603380443
82,2.6180339603380443
83,2.6180339603380443
84,2.6180339603380443
85,2.6180339603380443
86,2.6180339603380443
87,2.6180339603380443
88,2.6180339603380443
89,2.6180339603380443
90,2.6180339603380443
91,2.6180339603380443
92,2.6180339603380443
93,2.6180339603380443
94,2.6180339603380443
95,2.6180339603380443
96,2.6180339603380443
97,2.6180339603380443
98,2.6180339603380443
99,2.6180339603380443
100,2.6180339603380443
101,2.6180339603380443
102,2.6180339603380443
103,2.6180339603380443
104,2.6180339603380443
105,2.6180339603380443
106,2.6180339603380443
107,2.6180339603380443
108,2.6180339603380443
109,2.6180339603380443
110,2.6180339603380443
111,2.6180339603380443
112,2.6180339603380443
113,2.6180339603380443
114,2.6180339603380443
115,2.6180339603380443
116,2.6180339603380443
117,2.6180339603380443
118,2.6180339603380443
119,2.6180339603380443
120,2.6180339603380443
121,2.6180339603380443
122,2.6180339603380443
123,2.6180339603380443
124,2.6180339603380443
125,2.6180339603380443
126,2.6180339603380443
127,2.6180339603380443
128,2.6180339603380443
129,2.6180339603380443
130,2.6180339603380443
131,2.6180339603380443
132,2.6180339603380443
133,2.6180339603380443
134,2.6180339603380443
135,2.6180339603380443
136,2.6180339603380443
137,2.6180339603380443
138,2.6180339603380443
139,2.6180339603380443
140,2.6180339603380443
141,2.6180339603380443
142,2.6180339603380443
143,2.6180339603380443
144,2.6180339603380443
145,2.6180339603380443
146,2.6180339603380443
147,2.6180339603380443
148,2.6180339603380443
149,2.6180339603380443
150,2.6180339603380443
151,2.6180339603380443
152,2.6180339603380443
153,2.6180339603380443
154,2.6180339603380443
155,2.6180339603380443
156,2.6180339603380443
157,2.6180339603380443
158,2.6180339603380443
159,2.6180339603380443
160,2.6180339603380443
161,2.6180339603380443
162,2.6180339603380443
163,2.6180339603380443
164,2.6180339603380443
165,2.6180339603380443
166,2.6180339603380443
167,2.6180339603380443
168,2.6180339603380443
169,2.6180339603380443
170,2.6180339603380443
171,2.6180339603380443
172,2.6180339603380443
173,2.6180339603380443
174,2.6180339603380443
175,2.6180339603380443
176,2.6180339603380443
177,2.6180339603380443
178,2.6180339603380443
179,2.6180339603380443
180,2.6180339603380443
